A,B,C,D,E,F
0,-30.64,20,269.53,57.5534,25.6244
26,73.06,38,539.1,13.6739,39.7118
30,89.03,38,539.01,-57.777,-53.8778
20,49.1,33,464.2,72.5046,33.8094
25,69.3,23,314.22,-20.6035,-42.2433
38,121.31,0,-30.92,32.1394,38.3022
10,9.13,17,224.25,-43.3988,-88.9806
4,-14.52,25,344.31,-24.4537,-5.19779
22,57.33,32,449.32,-39.1332,-29.4889
18,41.45,5,44.38,-8.3879,-12.4356
2,-22.8,25,344.19,-55.2798,-65.8798
30,89.01,24,329.44,-26.7532,-24.0887
6,-6.83,9,104.29,46.5697,57.5088
31,93.25,4,29,42.8985,35.9961
35,109.31,35,494.3,26.08,6.98811
4,-14.61,4,29.26,11.3137,11.3137
36,113.23,27,374.49,36.8169,38.125
30,89.17,24,329.48,26.4799,35.1399
27,77.52,19,254.41,50.2295,29
31,93.22,21,284.24,8.77118,28.6891
27,77.31,22,299.2,-24.2574,-6.04804
34,105.21,5,44.38,-71.6056,-7.52604
24,65.27,31,434.45,-8.91997,-16.776
39,125.18,22,299.15,-37.1195,-87.4479
33,101.13,29,404.31,-40.7839,-19.0178
34,105.2,6,59.54,-80.9904,-12.8276
36,113.09,10,119.1,43.8467,10.1228
24,65.47,1,-15.76,-39.9318,-30.0907
14,25.46,15,194.05,15.2385,35.8997
0,-30.99,9,104.39,25.3944,73.7504
22,57.22,11,134.37,-32.9643,-70.692
6,-6.93,2,-0.47,94.6385,8.27979
7,-3.03,22,299.05,18.3644,43.2637
2,-22.89,34,479.35,41.0001,71.0141
30,89.4,10,119.28,10.5655,22.6577
8,1.16,17,224.56,50.8866,75.4424
1,-26.45,1,-15.99,-29.0477,-89.3993
16,33.3,9,104.15,-39.4175,-25.598
22,57.13,22,299.45,-11.6287,-31.9495
6,-6.87,20,270.53,-50.0001,-86.6025
28,81.37,36,509.23,33.0739,20.6668
37,116.98,17,224.48,67.3457,37.3303
20,49.02,37,524.46,-4.95134,-0.695865
17,37.46,19,254.37,16.9145,6.15636
5,-10.87,13,164.02,-84.763,-45.0692
2,-22.71,13,164.47,84.5723,30.7818
17,37.17,38,539.32,-23.0041,-43.2644
19,45.28,24,329.05,-85.386,-21.2891
11,13.46,28,389.19,0.838671,0.544639
19,45.15,14,179.3,-17.6777,-17.6777
38,121.34,35,494.41,85.6783,15.1074
21,53.34,5,44.28,-45.738,-60.6963
18,41.32,31,434.51,-57.3916,-30.5156
33,101.44,25,344.3,30.9431,26.8984
24,65.18,17,224.07,5.95528,0.731215
1,-26.99,10,119.33,-26.5292,-17.8942
21,53.26,18,239.16,0,0
19,45.07,29,404.4,3.4641,2
6,-6.54,24,329.4,-18.5,-32.0429
22,57.04,38,539.16,-15.0894,-17.3583
11,13.47,9,104.1,44.6336,11.1284
35,109.37,31,434.5,-0.788011,-0.615661
8,1.07,34,479.26,-66.745,-5.83943
14,25.09,12,149.27,25.3717,9.23454
36,113.06,34,479.23,0,0
11,13.49,14,179.09,63.6671,90.9258
1,-26.91,0,-30.59,10.0655,14.9227
28,81.15,34,479.31,-22.5583,-69.4271
24,65.51,11,134.13,69.6392,46.9722
23,61.09,8,89.06,-20.885,-2.1951
33,101.27,5,44.24,30.2942,15.4357
39,125.52,27,374.49,14.8629,13.3826
